RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8COM1,Q8COM2,Q8COM3,Q8COM4,Q8COM5,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11TSAPRE,Q12PRECHEKCRATE,Q12COM1,Q12COM2,Q12COM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15COM1,Q15COM2,Q15COM3,NETPRO,Q16LIVE,Q17ZIP,Q17COUNTRY,HOME,Q19AGE,Q20GENDER,Q21INCOME,Q22FLY,Q23SJC,Q23OAK,LANG,WEIGHT,Hi,HOWLONG,Q17CITY,Q17STATE
1,522,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,12/31/1899 09:30:00 AM,2,,,7,,,,1,2,2,1,1,1,1,6,6,6,3,3,3,6,6,4,6,6,6,6,6,4,0,,,,,5,6,6,6,4,4,0,,,4,3,,,2,,,,,5,4,4,4,2,,,,6,3,,CANADA,13,5,2,3,1,2,2,1,0.2847177143,,210,MONTREAL,QC
2,504,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:00:00,12/31/1899 12:55:00 PM,4,,,6,,,,2,1,1,2,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,3,3,3,3,3,3,0,,,3,11,,,2,,,,,1,3,4,5,2,,,,7,1,94546,US,3,3,1,1,2,2,2,1,0.9440823789,,235,BERKELEY,CA
3,523,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:30 AM,12/31/1899 09:30:00 AM,2,,,3,,,,0,0,1,1,1,1,4,5,5,4,4,4,4,6,6,5,6,6,6,6,6,4,14,,,,,5,6,6,5,5,5,0,,,4,6,,,4,,,,,11,0,5,6,2,,,,5,3,89511,US,10,6,2,3,2,2,1,1,0.2847177143,,60,RENO,NV
4,505,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:00:00,12/31/1899 12:55:00 PM,2,,,9,,,,1,1,1,1,0,0,0,5,5,5,5,5,5,3,3,3,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,5,5,5,5,2,,,,7,1,94128,US,1,5,2,2,2,1,1,1,0.9440823789,,175,SAN FRANCISCO,CA
5,524,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:00:00,12/31/1899 09:30:00 AM,2,3,,5,,,,1,1,1,2,1,1,2,6,3,3,4,4,4,4,4,2,4,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,9,3,,CANADA,13,4,2,4,1,2,2,1,0.2847177143,,150,MONTREAL,QC
6,525,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,12/31/1899 09:30:00 AM,1,,,3,,,,1,1,1,1,1,1,2,3,3,3,4,4,4,3,6,3,4,4,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,4,1,2,3,0,,,,,11,4,4,5,2,,,,10,3,,CANADA,13,5,1,0,2,2,2,1,0.2847177143,,120,MONTREAL,QC
7,506,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12/31/1899 12:55:00 PM,2,,,12,,,,1,2,2,2,0,0,0,4,4,3,3,3,4,4,4,4,3,0,4,4,4,4,32,,,,,4,4,4,4,4,4,0,,,4,15,,,1,5,1,,,7,3,3,3,2,,,,8,1,95104,US,4,4,1,4,2,2,2,1,0.9440823789,,205,SAN JOSE,CA
8,526,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,12/31/1899 09:30:00 AM,2,,,0,,,,1,2,1,2,1,2,1,6,4,6,4,4,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,5,0,,,1,4,0,,,5,4,4,4,2,,,,9,3,,CANADA,13,6,2,2,3,3,4,1,0.2847177143,,180,MONCTON,NB
9,507,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12/31/1899 12:55:00 PM,4,,,3,,,,1,1,1,1,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,5,5,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,,MEXICO,13,2,1,1,2,2,2,2,0.9440823789,,205,MEXICO CITY,
10,527,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,12/31/1899 09:30:00 AM,2,,,7,,,,1,1,1,1,1,1,3,6,4,4,5,5,5,6,6,4,6,6,6,6,6,5,1,8,,,,5,6,6,4,3,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,,CANADA,13,4,2,0,1,2,2,1,0.2847177143,,180,,NB
11,528,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,12/31/1899 09:30:00 AM,2,,,7,,,,1,1,1,2,1,2,1,6,3,0,4,4,4,0,0,0,0,0,0,0,0,4,0,,,,,5,0,0,5,5,5,0,,,5,0,,,1,5,0,,,5,0,5,5,2,,,,9,3,,CANADA,13,7,1,2,2,2,2,1,0.2847177143,,180,MONCTON,NB
12,508,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,7:00:00,12/31/1899 12:55:00 PM,3,,,3,,,,2,1,1,1,3,1,4,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,11,4,6,6,2,,,,8,3,,CHINA,16,4,1,4,1,1,4,2,0.9440823789,,355,HONG KONG,
13,529,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:00:00,12/31/1899 09:30:00 AM,2,,,3,,,,0,1,1,1,3,1,2,4,3,3,4,4,4,3,3,5,6,6,6,6,6,Blank,102,151,,,,4,6,6,4,4,4,0,,,4,4,12,,4,,,,,11,4,4,6,2,,,,8,3,,CANADA,13,6,1,4,1,2,2,1,0.2847177143,,90,MONTREAL,QC
14,509,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12/31/1899 12:55:00 PM,4,,,3,,,,1,1,1,0,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,6,6,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,,MEXICO,13,6,4,1,4,4,3,2,0.9440823789,,205,,
15,530,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:35 AM,12/31/1899 09:30:00 AM,2,,,3,,,,0,1,1,1,1,1,3,5,5,5,5,4,5,6,6,5,0,0,0,0,0,5,4,,,,,5,0,0,5,5,5,0,,,5,0,,,2,,,,,11,5,5,0,2,,,,10,2,95695,US,10,6,2,2,2,2,2,1,0.2847177143,,175,WOODLAND,CA
16,510,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:45 AM,12/31/1899 12:55:00 PM,1,,,3,,,,2,2,2,1,6,1,3,0,5,4,4,5,5,5,5,5,0,0,0,0,0,5,0,,,,,5,0,0,5,0,5,0,,,5,0,,,1,5,0,,,11,5,4,5,2,,,,10,3,,MEXICO,13,6,1,3,1,4,4,2,0.9440823789,,250,,
17,531,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:55 AM,12/31/1899 09:30:00 AM,1,,,5,,,,2,1,2,2,1,1,3,3,4,5,4,3,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,6,6,4,0,,,4,0,,,2,,,,,5,4,4,4,2,,,,8,3,,CANADA,13,4,1,2,2,2,2,1,0.2847177143,,95,MONTREAL,QC
18,532,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,12/31/1899 09:30:00 AM,1,,,3,,,,2,2,2,1,1,2,1,5,3,3,4,3,5,3,3,5,6,6,6,6,6,Blank,12,,,,,5,3,3,3,3,4,0,,,5,3,,,2,,,,,11,6,5,6,2,,,,10,3,,CANADA,13,5,2,0,1,2,2,1,0.2847177143,,120,,NB
